code,voltage
0000,29.874015748031496
0001,30.1496062992126
0002,32.07086614173229
0003,38.19685039370079
0004,46.00787401574804
0005,48.251968503937015
0006,50.73228346456693
0007,57.14960629921261
0008,61.637795275590555
0009,64.71653543307089
000a,75.01574803149609
000b,77.24409448818899
000c,84.29133858267718
000d,81.3700787401575
000e,86.23622047244096
000f,92.3937007874016
0010,102.21259842519687
0011,107.83464566929135
0012,111.44094488188978
0013,113.00000000000003
0014,117.28346456692917
0015,129.12598425196853
0016,128.62204724409452
0017,133.23622047244095
0018,137.47244094488195
0019,144.13385826771656
001a,150.05511811023624
001b,148.74803149606305
001c,156.70078740157481
001d,161.69291338582678
001e,168.7716535433071
001f,175.22047244094492
0020,179.09448818897638
0021,186.3149606299213
0022,182.2677165354331
0023,190.37007874015748
0024,199.6535433070866
0025,202.20472440944883
0026,213.6929133858268
0027,214.69291338582676
0028,217.244094488189
0029,222.92125984251965
002a,223.85039370078738
002b,232.8740157480315
002c,232.92913385826773
002d,241.10236220472436
002e,252.96850393700785
002f,255.39370078740157
0030,254.06299212598424
0031,264.8976377952756
0032,262.5275590551181
0033,276.2204724409449
0034,273.14173228346465
0035,279.07086614173227
0036,283.2913385826772
0037,287.1102362204725
0038,296.1732283464567
0039,296.4488188976378
003a,309.33858267716545
003b,307.4251968503938
003c,310.16535433070874
003d,311.22047244094495
003e,323.8897637795276
003f,328.251968503937
0040,331.48031496063
0041,338.3543307086615
0042,343.7559055118111
0043,344.6220472440945
0044,355.33858267716533
0045,354.3543307086614
0046,361.3858267716535
0047,371.27559055118104
0048,368.78740157480314
0049,374.59842519685037
004a,381.0393700787401
004b,376.78740157480314
004c,393.5275590551181
004d,397.36220472440937
004e,404.4566929133857
004f,401.259842519685
0050,411.34645669291325
0051,411.5354330708661
0052,418.5275590551181
0053,422.4960629921259
0054,426.4251968503936
0055,433.34645669291336
0056,434.9291338582677
0057,446.0393700787401
0058,447.267716535433
0059,448.8110236220472
005a,451.71653543307076
005b,462.8740157480314
005c,461.82677165354323
005d,473.3543307086614
005e,475.29921259842513
005f,479.9133858267716
0060,487.14960629921256
0061,490.8031496062992
0062,499.511811023622
0063,501.6614173228346
0064,507.2913385826772
0065,513.8503937007874
0066,515.8740157480314
0067,522.8031496062993
0068,522.3228346456692
0069,526.0866141732283
006a,530.724409448819
006b,536.5433070866143
006c,543.1496062992127
006d,551.5669291338584
006e,552.6771653543308
006f,561.6377952755907
0070,564.488188976378
0071,567.8031496062993
0072,572.748031496063
0073,576.236220472441
0074,582.3937007874016
0075,589.9212598425198
0076,588.2598425196852
0077,592.44094488189
0078,600.8897637795277
0079,606.5511811023623
007a,612.7952755905512
007b,614.9527559055119
007c,622.5354330708662
007d,623.8425196850395
007e,627.9212598425199
007f,634.2047244094489
0080,635.212598425197
0081,645.0708661417325
0082,654.48031496063
0083,656.708661417323
0084,658.3070866141734
0085,658.0157480314963
0086,668.748031496063
0087,676.7637795275592
0088,681.1496062992128
0089,689.6692913385828
008a,692.4566929133861
008b,691.5826771653545
008c,701.0157480314961
008d,704.2992125984254
