code,voltage
0000,-3.811023622047245
0001,-3.496062992125984
0002,7.7637795275590555
0003,2.661417322834646
0004,19.03937007874016
0005,19.32283464566929
0006,29.346456692913385
0007,29.173228346456693
0008,27.212598425196852
0009,38.409448818897644
000a,44.401574803149614
000b,44.65354330708662
000c,43.15748031496064
000d,54.88188976377953
000e,55.51968503937009
000f,64.87401574803151
0010,67.0708661417323
0011,78.33070866141733
0012,82.92125984251969
0013,86.0708661417323
0014,89.05511811023625
0015,97.01574803149607
0016,98.40157480314963
0017,100.72440944881893
0018,112.80314960629924
0019,124.03149606299215
001a,125.36220472440948
001b,128.02362204724412
001c,130.48031496062993
001d,137.89763779527559
001e,140.26771653543307
001f,142.20472440944886
0020,157.92125984251973
0021,154.31496062992127
0022,167.70866141732284
0023,164.96062992125988
0024,170.4173228346457
0025,176.05511811023624
0026,178.5196850393701
0027,185.13385826771656
0028,188.00787401574806
0029,190.13385826771656
002a,196.98425196850394
002b,199.80314960629923
002c,210.45669291338587
002d,214.40944881889763
002e,220.23622047244092
002f,226.15748031496062
0030,229.66929133858267
0031,228.23622047244095
0032,236.48031496062993
0033,243.36220472440942
0034,243.21259842519686
0035,247.48818897637796
0036,256.7165354330708
0037,259.0708661417323
0038,261.81889763779526
0039,266.72440944881896
003a,270.7086614173229
003b,283.3228346456693
003c,285.8346456692914
003d,284.2047244094489
003e,292.2598425196851
003f,298.0000000000001
0040,298.68503937007875
0041,310.28346456692924
0042,307.4094488188977
0043,316.45669291338584
0044,316.8976377952756
0045,320.3543307086615
0046,322.84251968503946
0047,336.7716535433071
0048,344.4724409448819
0049,343.01574803149606
004a,351.4488188976378
004b,355.2283464566929
004c,368.771653543307
004d,370.54330708661416
004e,370.9370078740157
004f,372.14173228346453
0050,378.511811023622
0051,381.3464566929133
0052,389.61417322834643
0053,398.96062992125985
0054,401.07874015748024
0055,405.71653543307076
0056,410.2440944881889
0057,419.62992125984243
0058,418.7007874015747
0059,432.1338582677165
005a,423.29921259842513
005b,443.76377952755894
005c,444.4881889763779
005d,444.8425196850393
005e,450.28346456692907
005f,450.56692913385814
