code,voltage
0000,-7.677165354330709
0001,-5.094488188976378
0002,-1.4251968503937011
0003,1.748031496062992
0004,0.5196850393700786
0005,8.5748031496063
0006,9.377952755905513
0007,22.724409448818896
0008,35.76377952755906
0009,34.20472440944882
000a,40.614173228346466
000b,43.803149606299215
000c,49.771653543307096
000d,55.88976377952756
000e,61.377952755905525
000f,70.34645669291339
0010,74.70078740157483
0011,74.16535433070868
0012,75.92913385826773
0013,88.29921259842521
0014,88.75590551181105
0015,92.06299212598427
0016,98.11023622047247
0017,93.96062992125987
0018,105.75590551181105
0019,108.95275590551184
001a,112.31496062992127
001b,122.4645669291339
001c,127.54330708661419
001d,137.5905511811024
001e,138.22834645669295
001f,143.77952755905517
0020,150.07874015748035
0021,156.0629921259843
0022,158.18110236220474
0023,160.13385826771656
0024,167.96062992125988
0025,171.0472440944882
0026,175.71653543307087
0027,184.77952755905514
0028,189.88188976377955
0029,197.25984251968507
002a,196.27559055118112
002b,201.98425196850394
002c,208.95275590551182
002d,213.4173228346457
002e,214.6220472440945
002f,217.92913385826768
0030,228.5669291338583
0031,228.62204724409446
0032,233.1417322834646
0033,240.11023622047244
0034,246.15748031496062
0035,248.6220472440945
0036,255.63779527559058
0037,255.11023622047244
0038,261.21259842519686
0039,271.96062992125985
003a,266.8897637795276
003b,273.05511811023626
003c,283.23622047244095
003d,284.72440944881896
003e,290.69291338582684
003f,298.7874015748032
0040,299.251968503937
0041,309.29921259842524
0042,314.27559055118115
0043,317.7952755905513
0044,324.4960629921261
0045,333.14173228346465
0046,341.43307086614175
0047,339.35433070866145
0048,344.9133858267717
0049,348.96062992125985
004a,350.8346456692914
004b,358.72440944881885
004c,359.57480314960634
004d,369.3622047244094
004e,375.79527559055117
004f,381.8740157480314
0050,382.1102362204724
0051,388.9370078740157
0052,394.1023622047244
0053,399.0393700787401
0054,401.76377952755894
0055,412.1968503937007
0056,417.08661417322827
0057,418.08661417322827
0058,425.1417322834644
0059,425.3543307086613
005a,427.9685039370079
005b,435.67716535433067
005c,438.2913385826771
005d,449.3700787401574
005e,459.3543307086613
005f,459.94488188976374
0060,463.60629921259834
0061,471.14960629921256
0062,468.6929133858267
0063,478.0393700787401
0064,481.7322834645669
0065,483.0078740157479
0066,489.9999999999999
0067,495.1338582677165
0068,505.3622047244094
0069,509.54330708661416
006a,509.6062992125984
006b,517.9055118110236
006c,518.2834645669291
006d,519.5826771653543
006e,524.8976377952756
006f,532.6220472440946
0070,533.6062992125984
0071,546.8110236220473
0072,552.5984251968504
0073,557.236220472441
0074,566.2440944881891
0075,567.6692913385828
0076,572.4330708661419
0077,580.4960629921261
0078,583.0629921259842
0079,588.708661417323
007a,589.3700787401577
007b,594.0944881889765
007c,602.2913385826774
007d,604.984251968504
007e,607.1732283464569
007f,613.2834645669293
0080,619.3228346456696
0081,624.4881889763782
0082,629.9055118110238
0083,631.0393700787404
0084,638.5511811023624
0085,649.2677165354332
0086,646.3385826771655
0087,648.6692913385829
0088,653.1653543307087
0089,661.5590551181103
008a,665.6614173228347
008b,668.4566929133861
008c,672.6850393700789
008d,680.0157480314961
008e,679.3543307086615
008f,689.6535433070868
0090,691.1496062992128
0091,700.8425196850395
0092,700.496062992126
0093,711.5826771653544
0094,713.5905511811025
0095,719.2125984251968
0096,723.9055118110238
0097,730.3622047244096
0098,734.0629921259842
0099,736.8425196850394
009a,749.1181102362204
009b,742.1181102362207
009c,751.0
009d,760.2913385826772
009e,759.535433070866
009f,765.259842519685
00a0,775.2362204724409
00a1,778.6614173228346
00a2,778.0787401574803
00a3,788.4409448818895
00a4,787.4330708661416
00a5,794.1259842519684
00a6,804.55905511811
00a7,813.03937007874
00a8,807.0236220472439
00a9,817.1338582677163
00aa,820.1417322834643
00ab,821.9055118110234
00ac,833.4724409448818
00ad,834.0944881889761
00ae,839.0157480314957
00af,841.5196850393697
00b0,848.338582677165
00b1,846.6062992125981
00b2,866.5905511811022
00b3,867.0236220472439
00b4,864.3700787401572
00b5,876.7086614173226
00b6,879.7480314960627
00b7,886.338582677165
00b8,892.7637795275588
00b9,899.3700787401572
00ba,898.4409448818895
00bb,908.0078740157478
00bc,904.4094488188974
00bd,913.6535433070865
00be,924.8503937007872
00bf,926.9055118110234
00c0,930.4094488188974
00c1,938.6299212598425
00c2,935.2519685039367
00c3,945.7952755905511
00c4,948.0472440944882
00c5,949.4330708661416
00c6,960.9055118110235
00c7,967.7952755905511
00c8,967.2834645669291
00c9,977.6614173228346
00ca,981.0866141732283
00cb,992.8818897637793
00cc,997.6614173228346
00cd,996.779527559055
00ce,1004.7874015748032
00cf,1007.9921259842521
00d0,1006.5275590551181
00d1,1012.8346456692911
00d2,1013.976377952756
00d3,1025.992125984252
00d4,1025.5748031496064
00d5,1037.3858267716535
00d6,1042.0314960629921
00d7,1046.3307086614172
00d8,1051.6062992125985
00d9,1051.4094488188975
00da,1060.6535433070865
00db,1062.3937007874015
00dc,1077.7952755905512
00dd,1076.6771653543306
00de,1086.3385826771655
00df,1084.3858267716537
00e0,1089.0472440944884
00e1,1093.6456692913384
00e2,1102.8110236220475
00e3,1108.3307086614175
00e4,1114.3149606299214
00e5,1113.9763779527561
00e6,1120.1338582677167
00e7,1124.9133858267721
00e8,1125.5905511811025
00e9,1129.3464566929135
00ea,1139.1732283464569
00eb,1146.968503937008
