code,voltage
0000,16.905511811023626
0001,28.740157480314963
0002,30.45669291338583
0003,26.05511811023622
0004,25.598425196850396
0005,20.629921259842522
0006,31.023622047244093
0007,25.897637795275593
0008,31.181102362204726
0009,27.220472440944885
000a,35.039370078740156
000b,37.88188976377954
000c,43.503937007874015
000d,39.00787401574803
000e,43.51968503937008
000f,46.779527559055126
0010,44.803149606299215
0011,53.566929133858274
0012,52.64566929133859
0013,52.29133858267717
0014,56.60629921259844
0015,64.84251968503939
0016,72.03937007874018
0017,79.81889763779529
0018,86.33070866141733
0019,87.91338582677167
001a,88.54330708661419
001b,99.52755905511812
001c,99.79527559055119
001d,108.43307086614175
001e,117.89763779527561
001f,121.0472440944882
0020,122.00000000000003
0021,127.6456692913386
0022,130.51968503937007
0023,135.93700787401573
0024,144.80314960629926
0025,150.33858267716536
0026,148.23622047244095
0027,153.78740157480317
0028,163.15748031496065
0029,169.90551181102364
002a,175.496062992126
002b,171.2204724409449
002c,176.8740157480315
002d,184.18897637795274
002e,187.0629921259843
002f,190.44094488188975
0030,201.84251968503938
0031,208.34645669291342
0032,211.03937007874018
0033,216.1968503937008
0034,226.28346456692913
0035,226.91338582677167
0036,234.2755905511811
0037,236.63779527559058
0038,237.45669291338587
0039,245.85039370078744
003a,246.58267716535437
003b,247.81102362204726
003c,261.3937007874016
003d,262.984251968504
003e,270.0472440944882
003f,273.5196850393701
0040,284.25984251968504
0041,282.53543307086613
0042,286.01574803149606
0043,292.5984251968504
0044,294.2204724409449
0045,301.80314960629926
0046,308.88188976377955
0047,310.52755905511816
0048,316.3464566929134
0049,319.5039370078741
004a,323.46456692913387
004b,330.755905511811
004c,337.4094488188977
004d,354.2362204724409
004e,339.92913385826773
004f,353.1574803149606
0050,357.84251968503935
0051,365.40944881889766
0052,362.8425196850394
0053,375.244094488189
0054,376.0866141732283
0055,392.50393700787396
0056,390.4251968503936
0057,397.5354330708661
0058,399.5748031496063
0059,405.015748031496
005a,406.17322834645665
005b,412.88188976377944
005c,413.27559055118104
005d,420.5511811023621
005e,426.6850393700787
005f,427.78740157480314
0060,434.76377952755905
0061,436.3858267716535
0062,448.9448818897637
0063,447.94488188976374
0064,454.015748031496
0065,460.30708661417316
0066,466.59842519685037
0067,466.8346456692914
0068,474.3779527559055
0069,487.21259842519686
006a,486.31496062992125
006b,494.29921259842513
006c,496.4724409448819
006d,497.7401574803149
006e,499.9763779527559
006f,509.9606299212599
0070,519.9212598425197
0071,516.511811023622
0072,527.0866141732284
0073,529.8818897637796
0074,538.2834645669292
0075,545.2913385826772
0076,543.1181102362207
0077,549.8188976377954
0078,556.3779527559055
0079,559.5905511811025
007a,571.0629921259842
007b,572.2755905511813
007c,572.1889763779528
007d,578.976377952756
007e,590.3070866141734
007f,590.5590551181105
0080,597.8740157480318
0081,595.6062992125985
0082,601.2677165354332
0083,611.5354330708664
0084,615.3779527559057
0085,616.9133858267719
0086,621.4960629921262
0087,622.4488188976379
